name,lat,lon,odo1,odo2,odo3,hgt,odo
11280,24.04046413,72.3895562,33233,52608,52636,87,52636
11290,24.04056983,72.38957774,33271,52656,52683,87,52683
11300,24.04067529,72.38959907,33313,52703,52730,87,52730
11310,24.04078113,72.38962051,33358,52750,52777,87,52777
11320,24.04087317,72.38963898,33399,52791,52819,87,52819
11330,24.04097348,72.38965905,33443,52836,52863,87,52863
11340,24.04107958,72.38968031,33491,52883,52911,87,52911
11350,24.0411809,72.38970043,33535,52929,52956,87,52956
11360,24.0412863,72.38972156,33582,52975,53004,87,53004
11370,24.0413917,72.38974271,33628,53022,53050,87,53050
11380,24.04149733,72.38976399,33675,53070,53098,87,53098
11390,24.04160265,72.38978524,33722,53117,53144,87,53144
11400,24.04167968,72.38980023,33753,53151,53179,87,53179
11410,24.04178256,72.38981929,33798,53197,53225,87,53225
11420,24.04188854,72.38983829,33843,53244,53272,87,53272
11430,24.04199431,72.38985733,33875,53291,53320,87,53320
11440,24.04210407,72.38987733,33910,53340,53369,87,53369
11450,24.04220998,72.38989664,33952,53388,53416,87,53416
11460,24.0423154,72.38991612,33994,53434,53463,87,53463
11470,24.04242098,72.38993523,34040,53481,53510,87,53510
11480,24.04252698,72.38995416,34087,53529,53558,87,53558
11490,24.04262879,72.38997242,34132,53574,53603,87,53603
11500,24.04273484,72.38999166,34180,53621,53650,87,53650
11510,24.04283687,72.39001,34225,53666,53696,87,53696
11520,24.04294713,72.3900297,34273,53715,53745,87,53745
11530,24.04305298,72.39004894,34320,53762,53792,87,53792
11540,24.04315895,72.39006847,34366,53810,53839,87,53839
11550,24.04326913,72.39008811,34415,53859,53888,87,53888
11560,24.04337494,72.39010719,34462,53906,53935,87,53935
11570,24.04348081,72.39012603,34509,53953,53983,87,53983
11580,24.0435839,72.39014445,34552,53999,54028,87,54028
11590,24.04368973,72.3901637,34598,54046,54076,87,54076
11600,24.04380005,72.39018395,34637,54095,54125,87,54125
11610,24.04390576,72.39020365,34682,54142,54172,87,54172
11620,24.04400916,72.3902227,34718,54188,54218,87,54218
11630,24.04411928,72.39024304,34749,54237,54267,87,54267
11640,24.0442254,72.39026246,34775,54284,54315,87,54315
11650,24.0443309,72.39028172,34800,54331,54362,87,54362
